# x y z jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z
# 1e-3 1e-3 1e-3 1e+6 1e+6 1e+6 1e+6 1e+6 1e+6 1 1 1 1 1 1 1e+6 1e+6 1e+6
30 -56.5 10 -0.00913741 -0.0373051 -5.36746e-05 -0.0624884 -0.409608 0.00203599 -0.00463073 0.00116427 0.0345474 9.81727e-05 7.61725e-06 -0.000170754 -0.000609403 0.000152726 -7.18259e-05
30 -56 10 -0.00903386 -0.0381912 -5.55047e-05 -0.0604966 -0.415759 0.00194674 -0.00463781 0.001137 0.0344874 9.94006e-05 8.12501e-06 -0.000166022 -0.000624021 0.000150981 -7.328e-05
30 -55.5 10 -0.00891283 -0.0390664 -6.84165e-05 -0.0585588 -0.421376 0.00180233 -0.00463239 0.00110597 0.0344287 9.83052e-05 8.95594e-06 -0.000163599 -0.000638005 0.000148886 -7.49644e-05
30 -55 10 -0.00885512 -0.0399606 -5.63673e-05 -0.0572632 -0.427187 0.00207076 -0.00462321 0.00107561 0.0343642 9.83871e-05 1.11227e-05 -0.000167367 -0.00065084 0.00014759 -7.64391e-05
30 -54.5 10 -0.00878415 -0.0408211 -4.93699e-05 -0.0557025 -0.432892 0.00221697 -0.00462396 0.00104781 0.0343035 9.84225e-05 1.33272e-05 -0.000165325 -0.000664358 0.000146282 -7.80477e-05
30 -54 10 -0.00865977 -0.0416488 -5.73237e-05 -0.0539522 -0.437773 0.00210314 -0.0046317 0.00102022 0.0342445 9.70573e-05 1.52179e-05 -0.000160366 -0.000678005 0.000144183 -8.00357e-05
30 -53.5 10 -0.00859728 -0.0424395 -6.2591e-05 -0.0525142 -0.442697 0.00219576 -0.00462705 0.000992204 0.0341932 9.39368e-05 1.9027e-05 -0.000157586 -0.00069068 0.000143094 -8.21569e-05
30 -53 10 -0.00848381 -0.0432846 -5.30303e-05 -0.0508055 -0.447902 0.00205214 -0.0046268 0.000963555 0.0341433 8.97352e-05 2.05999e-05 -0.000151393 -0.000705029 0.000141201 -8.46488e-05
30 -52.5 10 -0.00839144 -0.0441489 -3.55588e-05 -0.0492518 -0.453032 0.00190208 -0.00463243 0.000937435 0.0340815 9.2924e-05 1.78309e-05 -0.00014522 -0.000719435 0.000139591 -8.55818e-05
30 -52 10 -0.00831615 -0.0449205 -3.94426e-05 -0.0478887 -0.457777 0.00213649 -0.00463944 0.000915603 0.0340227 9.6772e-05 2.05776e-05 -0.000136627 -0.000732891 0.000138392 -8.63529e-05
30 -51.5 10 -0.00821246 -0.0457379 -5.46528e-05 -0.0467009 -0.462178 0.0020704 -0.00463952 0.000892475 0.0339659 9.65458e-05 2.27797e-05 -0.000135498 -0.000745453 0.000136535 -8.79869e-05
30 -51 10 -0.00810716 -0.046497 -2.74654e-05 -0.0454185 -0.466556 0.00206151 -0.00463239 0.0008577 0.0339318 9.00183e-05 2.58123e-05 -0.000124285 -0.000759886 0.000134879 -9.076e-05
30 -50.5 10 -0.00805903 -0.0472507 -4.35554e-05 -0.044245 -0.471064 0.00201542 -0.00463545 0.000836822 0.0338698 9.1785e-05 2.51861e-05 -0.000118968 -0.000772172 0.00013404 -9.1825e-05
30 -50 10 -0.00800002 -0.0480271 -7.84568e-05 -0.0433725 -0.475101 0.00185958 -0.00462853 0.000819416 0.0338149 9.12085e-05 2.59328e-05 -0.000115475 -0.000784575 0.000133022 -9.33207e-05
30 -49.5 10 -0.00790309 -0.0488285 -8.75363e-05 -0.0420746 -0.479406 0.00176667 -0.00463122 0.00079694 0.0337615 9.29367e-05 2.7719e-05 -0.000106678 -0.000798679 0.000131451 -9.45227e-05
30 -49 10 -0.00781288 -0.0496306 -7.80192e-05 -0.0408046 -0.483556 0.00167016 -0.0046385 0.00077124 0.0337043 9.49065e-05 2.94235e-05 -9.81584e-05 -0.000812644 0.000129921 -9.57726e-05
30 -48.5 10 -0.00775671 -0.0503378 -6.43804e-05 -0.0398236 -0.487328 0.00183445 -0.00462829 0.000747683 0.0336637 9.08693e-05 3.23295e-05 -9.2694e-05 -0.000824698 0.000128946 -9.78908e-05
30 -48 10 -0.00766458 -0.0510621 -6.00118e-05 -0.0385592 -0.491193 0.00195329 -0.00463424 0.000725772 0.033621 9.06783e-05 3.37836e-05 -8.00675e-05 -0.000838727 0.000127529 -9.94796e-05
30 -47.5 10 -0.00756022 -0.0518198 -5.3977e-05 -0.03714 -0.494987 0.00189751 -0.00464196 0.000702224 0.0335702 9.16438e-05 3.34173e-05 -6.89585e-05 -0.000852746 0.000125831 -0.000100866
30 -47 10 -0.00750068 -0.0525497 -7.42584e-05 -0.0362006 -0.498331 0.00189108 -0.00462846 0.000680502 0.0335168 8.78617e-05 3.63199e-05 -6.51077e-05 -0.000864434 0.000124776 -0.000102929
