# x z lx ly lz
1.5 15.5 -0.00404286 0.0571337 -0.0358136
1.5 16 -0.00404135 0.0552874 -0.0393602
1.5 16.5 -0.00392883 0.0539607 -0.0433876
1.5 17 -0.00419169 0.0523714 -0.047815
1.5 17.5 -0.00460087 0.0506846 -0.0528656
1.5 18 -0.00523904 0.0488906 -0.0578738
1.5 18.5 -0.00503447 0.0470029 -0.0635908
1.5 19 -0.00428946 0.0455092 -0.0702207
1.5 19.5 -0.00525775 0.0432414 -0.0767342
1.5 20 -0.00634265 0.0412452 -0.0838812
1.5 20.5 -0.0059594 0.039279 -0.0923679
1.5 21 -0.00578422 0.0374804 -0.10175
1.5 21.5 -0.00632408 0.0360939 -0.110904
1.5 22 -0.0068325 0.0341655 -0.121165
1.5 22.5 -0.00606949 0.0319241 -0.132751
1.5 23 -0.00567089 0.0294647 -0.145346
1.5 23.5 -0.00582866 0.0270355 -0.158887
1.5 24 -0.00596212 0.0250423 -0.174391
1.5 24.5 -0.00545988 0.0237146 -0.189609
1.5 25 -0.00536249 0.0213506 -0.207052
1.5 25.5 -0.00563851 0.0182972 -0.226042
1.5 26 -0.00607525 0.0166168 -0.245291
1.5 26.5 -0.00567726 0.0138612 -0.266686
1.5 27 -0.00426081 0.0124409 -0.29022
1.5 27.5 -0.00547693 0.0098568 -0.314733
1.5 28 -0.0046592 0.00724938 -0.342875
1.5 28.5 -0.00445617 0.0047126 -0.372197
1.5 29 -0.00328407 0.00248309 -0.403929
1.5 29.5 -0.00231746 0.000950275 -0.433441
1.5 30 -0.00659397 -0.00114752 -0.454053
2 0 0.000480929 0.106798 9.38148e-05
2 0.5 0.000487661 0.106959 -0.000238479
2 1 0.00056468 0.10722 -0.000687044
2 1.5 0.00072037 0.107174 -0.0010804
2 2 0.000878177 0.1068 -0.00145569
2 2.5 0.000662387 0.106443 -0.00193505
2 3 0.000180494 0.106051 -0.00242515
2 3.5 -1.42438e-05 0.105631 -0.00296418
2 4 0.00022936 0.105094 -0.00353648
2 4.5 0.000418313 0.104553 -0.00418012
2 5 0.000299563 0.103892 -0.00466548
2 5.5 0.000263838 0.103214 -0.00516329
2 6 -1.89574e-05 0.102414 -0.00570689
2 6.5 -0.00061539 0.101581 -0.00620792
2 7 -0.00104874 0.100882 -0.00681256
2 7.5 -0.00108452 0.100075 -0.00753079
2 8 -0.00104233 0.0991511 -0.0083768
2 8.5 -0.00126256 0.0978182 -0.00928665
2 9 -0.00139875 0.0967013 -0.010307
2 9.5 -0.00153651 0.0955978 -0.0112468
2 10 -0.00201159 0.0942207 -0.0123391
2 10.5 -0.00220586 0.0929956 -0.0135961
2 11 -0.00232683 0.0918774 -0.0150543
2 11.5 -0.00263322 0.0903333 -0.0166351
2 12 -0.0028908 0.0885156 -0.0183582
2 12.5 -0.00321638 0.0873547 -0.0201748
2 13 -0.00343551 0.085333 -0.0221131
2 13.5 -0.00357501 0.0837281 -0.0244296
2 14 -0.0038964 0.0816735 -0.0270412
2 14.5 -0.0041622 0.0798745 -0.029708
2 15 -0.00464975 0.0782728 -0.0325986
2 15.5 -0.0051999 0.0769512 -0.0358001
2 16 -0.00530583 0.0746508 -0.0394581
2 16.5 -0.00543388 0.0716257 -0.0435347
2 17 -0.0055614 0.0695725 -0.0480358
2 17.5 -0.00590103 0.0676935 -0.052929
2 18 -0.00628252 0.0655818 -0.0582058
2 18.5 -0.00649127 0.0629382 -0.0639229
2 19 -0.00647931 0.0606364 -0.0699436
2 19.5 -0.00687453 0.0578385 -0.0766106
2 20 -0.00753559 0.0554983 -0.0838779
2 20.5 -0.00668326 0.0530885 -0.0921006
2 21 -0.00714366 0.0503855 -0.101091
2 21.5 -0.00825836 0.0474354 -0.110817
2 22 -0.00797931 0.0443899 -0.120533
2 22.5 -0.0074904 0.0425103 -0.132796
2 23 -0.00809641 0.0393595 -0.146101
2 23.5 -0.00824922 0.0365194 -0.159613
2 24 -0.00801916 0.0339288 -0.17379
2 24.5 -0.00789021 0.0318744 -0.189567
2 25 -0.00700131 0.0286345 -0.206801
2 25.5 -0.00747303 0.0241881 -0.225828
2 26 -0.0081241 0.0215946 -0.245008
2 26.5 -0.00781898 0.0182447 -0.26592
2 27 -0.00649426 0.0165349 -0.28962
2 27.5 -0.00704968 0.0125374 -0.314637
2 28 -0.00579543 0.00900091 -0.342121
2 28.5 -0.00542788 0.00650315 -0.37171
2 29 -0.00521624 0.00229529 -0.402285
2 29.5 -0.00382287 0.00149202 -0.429412
2 30 -0.00418945 0.00186724 -0.449401
2.5 0 0.000603148 0.133655 5.04844e-05
2.5 0.5 0.00053948 0.133805 -0.000393989
2.5 1 0.000506829 0.134026 -0.000869967
2.5 1.5 0.000601977 0.13391 -0.00119668
2.5 2 0.000852492 0.133563 -0.00155932
2.5 2.5 0.00072086 0.133061 -0.00189665
2.5 3 0.000245631 0.132634 -0.00233274
2.5 3.5 0.000114282 0.132053 -0.00293541
2.5 4 0.000350088 0.13144 -0.003577
2.5 4.5 0.00026803 0.130818 -0.00411039
2.5 5 0.000165827 0.130014 -0.00463809
2.5 5.5 -0.000104345 0.129141 -0.0051336
2.5 6 -0.000487365 0.128233 -0.00567209
2.5 6.5 -0.00093995 0.127208 -0.00631053
2.5 7 -0.00121314 0.125981 -0.00697669
2.5 7.5 -0.00122967 0.124852 -0.00763308
2.5 8 -0.00118264 0.12383 -0.00848732
2.5 8.5 -0.00141727 0.122489 -0.00942259
2.5 9 -0.00176814 0.121047 -0.0105262
2.5 9.5 -0.00191723 0.119221 -0.0115333
2.5 10 -0.00234642 0.117802 -0.0126769
2.5 10.5 -0.002682 0.116436 -0.0139435
2.5 11 -0.00298748 0.114955 -0.0152401
2.5 11.5 -0.00328569 0.112741 -0.016771
2.5 12 -0.00357193 0.110902 -0.0184793
2.5 12.5 -0.00405485 0.109094 -0.020355
2.5 13 -0.00443779 0.106863 -0.0223195
2.5 13.5 -0.00456355 0.104367 -0.0245018
2.5 14 -0.00488279 0.102214 -0.0271186
2.5 14.5 -0.00539682 0.0998296 -0.0298358
2.5 15 -0.00604769 0.0979845 -0.0328164
2.5 15.5 -0.00642772 0.0957024 -0.0360778
2.5 16 -0.00647604 0.0930003 -0.0397851
2.5 16.5 -0.00686764 0.0899256 -0.0437943
2.5 17 -0.00705373 0.0873792 -0.0483023
2.5 17.5 -0.00742001 0.0849416 -0.0531691
2.5 18 -0.00754349 0.0816849 -0.0583006
2.5 18.5 -0.00764319 0.0785861 -0.0639456
2.5 19 -0.00847833 0.0759985 -0.0697211
2.5 19.5 -0.00909907 0.0731752 -0.0763027
2.5 20 -0.00917369 0.0697492 -0.0839463
2.5 20.5 -0.00905827 0.0654964 -0.0917652
2.5 21 -0.00918556 0.0626008 -0.100747
2.5 21.5 -0.00981213 0.0591799 -0.110444
2.5 22 -0.00973645 0.0559938 -0.120477
2.5 22.5 -0.00960384 0.0524138 -0.132041
2.5 23 -0.0100149 0.0491026 -0.145349
2.5 23.5 -0.0106335 0.045752 -0.159219
2.5 24 -0.00959137 0.0426514 -0.173541
2.5 24.5 -0.00975566 0.0389018 -0.189811
2.5 25 -0.00880611 0.0353115 -0.206867
2.5 25.5 -0.00887975 0.031401 -0.225825
2.5 26 -0.00913192 0.0276089 -0.245558
2.5 26.5 -0.00923837 0.023567 -0.265688
2.5 27 -0.00945215 0.0195804 -0.28932
2.5 27.5 -0.00885405 0.0155959 -0.314272
2.5 28 -0.00723269 0.0108595 -0.340296
2.5 28.5 -0.00647265 0.00828306 -0.370159
2.5 29 -0.00640178 0.00375608 -0.401355
2.5 29.5 -0.00611923 0.000562151 -0.431686
2.5 30 -0.00575814 0.00296288 -0.451238
3 0 0.000844357 0.160553 -1.76435e-05
3 0.5 0.000782017 0.160747 -0.000492915
3 1 0.00084881 0.161114 -0.000767283
3 1.5 0.000691901 0.160822 -0.00109866
3 2 0.000704256 0.160349 -0.0015003
3 2.5 0.0006275 0.159825 -0.00184048
3 3 0.000298659 0.159205 -0.00214903
3 3.5 0.000174528 0.158591 -0.00277233
3 4 0.000429299 0.157844 -0.00358765
3 4.5 3.61723e-06 0.157162 -0.00403676
3 5 -0.000119551 0.156437 -0.00463883
3 5.5 -0.000283087 0.155436 -0.0052378
3 6 -0.00067579 0.154123 -0.00586228
3 6.5 -0.00101074 0.152712 -0.00664872
3 7 -0.00114136 0.151452 -0.00731768
3 7.5 -0.00132947 0.150095 -0.00790446
3 8 -0.0014497 0.148624 -0.00861201
3 8.5 -0.00174513 0.147291 -0.00967889
3 9 -0.00217047 0.14548 -0.0107324
3 9.5 -0.00240796 0.143557 -0.011798
3 10 -0.00278504 0.141825 -0.0129825
3 10.5 -0.00332209 0.13975 -0.0141916
3 11 -0.00364523 0.13764 -0.0154631
3 11.5 -0.0039935 0.135392 -0.0169736
3 12 -0.00443634 0.133489 -0.018722
3 12.5 -0.00491816 0.130917 -0.0206069
3 13 -0.00540891 0.128006 -0.022626
3 13.5 -0.00567439 0.125519 -0.0248509
3 14 -0.00605444 0.122926 -0.0273273
3 14.5 -0.00656255 0.120304 -0.0300293
3 15 -0.00709555 0.117475 -0.0330674
3 15.5 -0.007637 0.114238 -0.0364416
3 16 -0.00767929 0.111459 -0.040099
3 16.5 -0.0078943 0.108246 -0.0440436
3 17 -0.0085251 0.104822 -0.0483722
3 17.5 -0.00911274 0.101728 -0.0531431
3 18 -0.00926249 0.0983636 -0.0583027
3 18.5 -0.00936091 0.0946524 -0.0640073
